Date : 2026-03-10 10:36:45
Directory : c:\Users\conta\Desktop\project\client
Total : 603 files,  20233 codes, -37 comments, 1693 blanks, all 21889 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        317 |     18,748 |         30 |      3,089 |     21,867 |
| JSON               |          6 |      9,229 |          0 |          1 |      9,230 |
| PostCSS            |         59 |      7,023 |         20 |        812 |      7,855 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JSON with Comments |          2 |         17 |          0 |          1 |         18 |
| XML                |          6 |          6 |          0 |          0 |          6 |
| HTML               |          1 |        -10 |          0 |         -1 |        -11 |
| JavaScript         |          8 |        -89 |         -1 |        -12 |       -102 |
| TypeScript         |        203 |    -14,714 |        -86 |     -2,211 |    -17,011 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        603 |     20,233 |        -37 |      1,693 |     21,889 |
| . (Files)                                                                                                                |          9 |     16,223 |          4 |         28 |     16,255 |
| ..                                                                                                                       |        174 |    -23,324 |        -98 |     -2,456 |    -25,878 |
| ..\server                                                                                                                |        174 |    -23,324 |        -98 |     -2,456 |    -25,878 |
| ..\server (Files)                                                                                                        |          4 |     -6,910 |          0 |         -2 |     -6,912 |
| ..\server\config                                                                                                         |          1 |        -24 |          0 |         -3 |        -27 |
| ..\server\migrations                                                                                                     |          2 |        -44 |         -2 |         -6 |        -52 |
| ..\server\public                                                                                                         |          1 |         -7 |          0 |         -2 |         -9 |
| ..\server\public\stylesheets                                                                                             |          1 |         -7 |          0 |         -2 |         -9 |
| ..\server\scripts                                                                                                        |          1 |        -65 |         -3 |        -13 |        -81 |
