Date : 2026-03-10 14:33:22
Directory : c:\Users\conta\Desktop\project\client
Total : 430 files,  43692 codes, 61 comments, 4197 blanks, all 47950 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        318 |     18,883 |         30 |      3,137 |     22,050 |
| JSON               |          3 |     16,112 |          0 |          3 |     16,115 |
| PostCSS            |         58 |      7,030 |         20 |        814 |      7,864 |
| TypeScript         |         39 |      1,550 |          7 |        218 |      1,775 |
| JavaScript         |          4 |         44 |          4 |         10 |         58 |
| JSON with Comments |          1 |         44 |          0 |          1 |         45 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| XML                |          6 |          6 |          0 |          0 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        430 |     43,692 |         61 |      4,197 |     47,950 |
| . (Files)                                                                                                                |          9 |     16,223 |          4 |         28 |     16,255 |
| public                                                                                                                   |          5 |          5 |          0 |          0 |          5 |
| src                                                                                                                      |        416 |     27,464 |         57 |      4,169 |     31,690 |
| src (Files)                                                                                                              |          1 |         59 |          0 |         14 |         73 |
| src\app                                                                                                                  |        321 |     23,802 |         46 |      3,633 |     27,481 |
| src\app (Files)                                                                                                          |          2 |        154 |          0 |         10 |        164 |
| src\app\api                                                                                                              |          1 |          4 |          0 |          2 |          6 |
| src\app\api\auth                                                                                                         |          1 |          4 |          0 |          2 |          6 |
| src\app\api\auth\[...nextauth]                                                                                           |          1 |          4 |          0 |          2 |          6 |
| src\app\company                                                                                                          |          2 |         76 |          0 |         14 |         90 |
| src\app\edit                                                                                                             |         50 |      3,927 |          1 |        691 |      4,619 |
| src\app\edit (Files)                                                                                                     |          4 |        441 |          0 |         45 |        486 |
| src\app\edit\account                                                                                                     |          6 |        515 |          1 |         94 |        610 |
| src\app\edit\account (Files)                                                                                             |          2 |        339 |          1 |         55 |        395 |
| src\app\edit\account\shop                                                                                                |          3 |        135 |          0 |         30 |        165 |
| src\app\edit\account\shop\[id]                                                                                           |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\account\shop\com-free                                                                                       |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\account\shop\com-free\[id]                                                                                  |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\account\shop\signup                                                                                         |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\account\shop\signup\[id]                                                                                    |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\account\transfar                                                                                            |          1 |         41 |          0 |          9 |         50 |
| src\app\edit\address                                                                                                     |          6 |        400 |          0 |         76 |        476 |
| src\app\edit\address (Files)                                                                                             |          2 |        219 |          0 |         35 |        254 |
| src\app\edit\address\delivery                                                                                            |          1 |         46 |          0 |         11 |         57 |
| src\app\edit\address\delivery\[id]                                                                                       |          1 |         46 |          0 |         11 |         57 |
| src\app\edit\address\shop                                                                                                |          3 |        135 |          0 |         30 |        165 |
| src\app\edit\address\shop\[id]                                                                                           |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\address\shop\com-free                                                                                       |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\address\shop\com-free\[id]                                                                                  |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\address\shop\signup                                                                                         |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\address\shop\signup\[id]                                                                                    |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\email                                                                                                       |          4 |        136 |          0 |         31 |        167 |
| src\app\edit\email (Files)                                                                                               |          2 |         90 |          0 |         18 |        108 |
| src\app\edit\email\new-email                                                                                             |          2 |         46 |          0 |         13 |         59 |
| src\app\edit\email\new-email\[token]                                                                                     |          2 |         46 |          0 |         13 |         59 |
| src\app\edit\honnin                                                                                                      |          2 |        406 |          0 |         56 |        462 |
| src\app\edit\name                                                                                                        |          9 |        632 |          0 |        126 |        758 |
| src\app\edit\name (Files)                                                                                                |          2 |        307 |          0 |         51 |        358 |
| src\app\edit\name\delivery                                                                                               |          1 |         47 |          0 |         11 |         58 |
| src\app\edit\name\delivery\[id]                                                                                          |          1 |         47 |          0 |         11 |         58 |
| src\app\edit\name\shop                                                                                                   |          6 |        278 |          0 |         64 |        342 |
