"filename", "language", "HTML", "TypeScript", "JavaScript", "JSON", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\server\config\config.cjs", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\conta\Desktop\project\server\migrations\20260217101306-add-items-status-seller-uploaded-index.cjs", "JavaScript", 0, 0, 22, 0, 0, 0, 1, 3, 26
"c:\Users\conta\Desktop\project\server\migrations\20260217105204-add-items-status-seller-uploaded-index.cjs", "JavaScript", 0, 0, 22, 0, 0, 0, 1, 3, 26
"c:\Users\conta\Desktop\project\server\package-lock.json", "JSON", 0, 0, 0, 6822, 0, 0, 0, 1, 6823
"c:\Users\conta\Desktop\project\server\package.json", "JSON", 0, 0, 0, 60, 0, 0, 0, 1, 61
"c:\Users\conta\Desktop\project\server\public\stylesheets\style.css", "PostCSS", 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\conta\Desktop\project\server\scripts\gen-create-tables.js", "JavaScript", 0, 0, 65, 0, 0, 0, 3, 13, 81
"c:\Users\conta\Desktop\project\server\src\app.ts", "TypeScript", 0, 185, 0, 0, 0, 0, 3, 16, 204
"c:\Users\conta\Desktop\project\server\src\bin\www.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 24, 21, 93
"c:\Users\conta\Desktop\project\server\src\config\config.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 6, 44
"c:\Users\conta\Desktop\project\server\src\cron\buyDelete.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 2, 6, 34
"c:\Users\conta\Desktop\project\server\src\cron\commentSortDecay.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\conta\Desktop\project\server\src\cron\dataDelete.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 2, 7, 43
"c:\Users\conta\Desktop\project\server\src\cron\index.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\conta\Desktop\project\server\src\cron\itemDelete.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 2, 13, 80
"c:\Users\conta\Desktop\project\server\src\cron\itemSortDecay.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 8, 55
"c:\Users\conta\Desktop\project\server\src\cron\token.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 4, 14, 103
"c:\Users\conta\Desktop\project\server\src\cron\trustScore.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 3, 19, 108
"c:\Users\conta\Desktop\project\server\src\db.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\conta\Desktop\project\server\src\middleware\authMiddleware.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 6, 47
"c:\Users\conta\Desktop\project\server\src\middleware\authOptional.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 1, 7, 49
"c:\Users\conta\Desktop\project\server\src\middleware\index.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\conta\Desktop\project\server\src\middleware\isAdmin.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 6, 34
"c:\Users\conta\Desktop\project\server\src\middleware\session.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\conta\Desktop\project\server\src\models\account_type_option.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\conta\Desktop\project\server\src\models\address.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 0, 6, 91
"c:\Users\conta\Desktop\project\server\src\models\bank_account.ts", "TypeScript", 0, 88, 0, 0, 0, 0, 0, 6, 94
"c:\Users\conta\Desktop\project\server\src\models\banks.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 3, 40
"c:\Users\conta\Desktop\project\server\src\models\blog.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 6, 66
"c:\Users\conta\Desktop\project\server\src\models\blog_category_option.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\conta\Desktop\project\server\src\models\branches.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 4, 52
"c:\Users\conta\Desktop\project\server\src\models\brand_aliases.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 5, 44
"c:\Users\conta\Desktop\project\server\src\models\brands.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 3, 36
"c:\Users\conta\Desktop\project\server\src\models\cancel.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 6, 64
"c:\Users\conta\Desktop\project\server\src\models\cancel_fee_return_option.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\conta\Desktop\project\server\src\models\cart.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 6, 55
"c:\Users\conta\Desktop\project\server\src\models\categories.ts", "TypeScript", 0, 78, 0, 0, 0, 0, 0, 5, 83
"c:\Users\conta\Desktop\project\server\src\models\chat.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 6, 50
