"filename", "language", "JSON", "HTML", "JavaScript", "PostCSS", "JSON with Comments", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\server\config\config.cjs", "JavaScript", 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\conta\Desktop\project\server\migrations\20260217101306-add-items-status-seller-uploaded-index.cjs", "JavaScript", 0, 0, 22, 0, 0, 1, 3, 26
"c:\Users\conta\Desktop\project\server\migrations\20260217105204-add-items-status-seller-uploaded-index.cjs", "JavaScript", 0, 0, 22, 0, 0, 1, 3, 26
"c:\Users\conta\Desktop\project\server\package-lock.json", "JSON", 6822, 0, 0, 0, 0, 0, 1, 6823
"c:\Users\conta\Desktop\project\server\package.json", "JSON", 60, 0, 0, 0, 0, 0, 1, 61
"c:\Users\conta\Desktop\project\server\public\stylesheets\style.css", "PostCSS", 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\conta\Desktop\project\server\scripts\gen-create-tables.js", "JavaScript", 0, 0, 65, 0, 0, 3, 13, 81
"c:\Users\conta\Desktop\project\server\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 27, 0, 0, 27
"c:\Users\conta\Desktop\project\server\tsconfig.tsbuildinfo", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\conta\Desktop\project\server\views\error.ejs", "HTML", 0, 10, 0, 0, 0, 0, 1, 11
"Total", "-", 6883, 10, 133, 7, 27, 5, 27, 7092
