"filename", "language", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\client\src\app\order\header.module.css", "PostCSS", 0, -28, 0, -3, -31
"c:\Users\conta\Desktop\project\client\src\app\order\list\header.module.css", "PostCSS", 0, 28, 0, 3, 31
"c:\Users\conta\Desktop\project\client\src\app\order\list\order.module.css", "PostCSS", 0, 209, 0, 32, 241
"c:\Users\conta\Desktop\project\client\src\app\order\list\orderList.tsx", "TypeScript JSX", 165, 0, 2, 29, 196
"c:\Users\conta\Desktop\project\client\src\app\order\list\orderListUI.tsx", "TypeScript JSX", 13, 0, 0, 2, 15
"c:\Users\conta\Desktop\project\client\src\app\order\list\purchased\page.tsx", "TypeScript JSX", 41, 0, 0, 7, 48
"c:\Users\conta\Desktop\project\client\src\app\order\list\sold\page.tsx", "TypeScript JSX", 41, 0, 0, 7, 48
"c:\Users\conta\Desktop\project\client\src\app\order\list\tabHeader.tsx", "TypeScript JSX", 72, 0, 0, 7, 79
"c:\Users\conta\Desktop\project\client\src\app\order\order.module.css", "PostCSS", 0, -209, 0, -32, -241
"c:\Users\conta\Desktop\project\client\src\app\order\orderList.tsx", "TypeScript JSX", -165, 0, -2, -29, -196
"c:\Users\conta\Desktop\project\client\src\app\order\orderListUI.tsx", "TypeScript JSX", -13, 0, 0, -2, -15
"c:\Users\conta\Desktop\project\client\src\app\order\purchased-list\page.tsx", "TypeScript JSX", -41, 0, 0, -7, -48
"c:\Users\conta\Desktop\project\client\src\app\order\sold-list\page.tsx", "TypeScript JSX", -41, 0, 0, -7, -48
"c:\Users\conta\Desktop\project\client\src\app\order\tabHeader.tsx", "TypeScript JSX", -77, 0, 0, -8, -85
"Total", "-", -5, 0, 0, -1, -6
